data,Abertas no Prazo,Abertas em Atraso,Encerradas,total,Abertas no Prazo Totais,Abertas com Atraso Totais,Encerradas Totais,total de tudo
24/11/2020,7,4,0,11,7,4,0,11
01/12/2020,11,4,7,22,18,8,7,33
11/12/2020,6,1,15,22,24,9,22,55
15/12/2020,9,1,15,25,33,10,37,80
08/01/2021,0,0,0,0,33,10,37,80
15/01/2021,3,18,8,29,36,28,45,109
22/01/2021,9,18,8,35,45,46,53,144
29/01/2021,10,12,16,38,55,58,69,182
05/02/2021,9,9,21,39,64,67,90,221
11/02/2021,6,7,28,41,70,74,118,262
19/02/2021,6,5,30,41,76,79,148,303
26/02/2021,8,5,31,44,84,84,179,347
05/03/2021,8,3,33,44,92,87,212,391
19/03/2021,9,3,33,45,101,90,245,436
26/03/2021,7,3,34,44,108,93,279,480
16/04/2021,12,0,42,54,120,93,321,534
22/04/2021,7,5,44,56,127,98,365,590
30/04/2021,6,1,52,59,133,99,417,649
